date,close
2004-01-01,1132.52
2004-02-01,1143.36
2004-03-01,1123.98
2004-04-01,1133.36
2004-05-01,1102.78
2004-06-01,1132.76
2004-07-01,1105.85
2004-08-01,1088.94
2004-09-01,1117.66
2004-10-01,1117.21
2004-11-01,1168.94
2004-12-01,1199.21
2005-01-01,1181.41
2005-02-01,1199.63
2005-03-01,1194.9
2005-04-01,1164.43
2005-05-01,1178.28
2005-06-01,1202.25
2005-07-01,1222.24
2005-08-01,1224.27
2005-09-01,1225.92
2005-10-01,1191.96
2005-11-01,1237.37
2005-12-01,1262.07
2006-01-01,1278.73
2006-02-01,1276.65
2006-03-01,1293.74
2006-04-01,1302.17
2006-05-01,1290.01
2006-06-01,1253.17
2006-07-01,1260.24
2006-08-01,1287.15
2006-09-01,1317.74
2006-10-01,1363.38
2006-11-01,1388.64
2006-12-01,1416.42
2007-01-01,1424.16
2007-02-01,1444.8
2007-03-01,1406.95
2007-04-01,1463.64
2007-05-01,1511.14
2007-06-01,1514.19
2007-07-01,1520.71
2007-08-01,1454.62
2007-09-01,1497.12
2007-10-01,1539.66
2007-11-01,1463.39
2007-12-01,1479.22
2008-01-01,1378.76
2008-02-01,1354.87
2008-03-01,1316.94
2008-04-01,1370.47
2008-05-01,1403.22
2008-06-01,1341.25
2008-07-01,1257.33
2008-08-01,1281.47
2008-09-01,1216.95
2008-10-01,968.8
2008-11-01,883.04
2008-12-01,877.56
2009-01-01,865.58
2009-02-01,805.23
2009-03-01,757.13
2009-04-01,848.15
2009-05-01,902.41
2009-06-01,926.12
2009-07-01,935.82
2009-08-01,1009.73
2009-09-01,1044.55
2009-10-01,1067.66
2009-11-01,1088.07
2009-12-01,1110.38
2010-01-01,1123.58
2010-02-01,1089.16
2010-03-01,1152.05
2010-04-01,1197.32
2010-05-01,1125.06
2010-06-01,1083.36
2010-07-01,1079.8
2010-08-01,1087.28
2010-09-01,1122.08
2010-10-01,1171.58
2010-11-01,1198.89
2010-12-01,1241.53
2011-01-01,1282.62
2011-02-01,1321.12
2011-03-01,1304.49
2011-04-01,1331.51
2011-05-01,1338.31
2011-06-01,1287.29
2011-07-01,1325.19
2011-08-01,1185.31
2011-09-01,1173.88
2011-10-01,1207.22
2011-11-01,1226.42
2011-12-01,1243.32
2012-01-01,1300.58
2012-02-01,1352.49
2012-03-01,1389.24
2012-04-01,1386.43
2012-05-01,1341.27
2012-06-01,1323.48
2012-07-01,1359.78
2012-08-01,1403.45
2012-09-01,1443.42
2012-10-01,1437.82
2012-11-01,1394.51
2012-12-01,1422.29
2013-01-01,1480.4
2013-02-01,1512.31
2013-03-01,1550.83
2013-04-01,1570.7
2013-05-01,1639.84
2013-06-01,1618.77
2013-07-01,1668.68
2013-08-01,1670.09
2013-09-01,1687.17
2013-10-01,1720.03
2013-11-01,1783.54
2013-12-01,1807.78
2014-01-01,1822.36
2014-02-01,1817.04
2014-03-01,1863.52
2014-04-01,1864.26
2014-05-01,1889.77
2014-06-01,1947.09
2014-07-01,1973.1
2014-08-01,1961.53
2014-09-01,1993.23
2014-10-01,1937.27
2014-11-01,2044.57
2014-12-01,2054.27
2015-01-01,2028.18
2015-02-01,2082.2
2015-03-01,2079.99
2015-04-01,2094.86
2015-05-01,2111.94
2015-06-01,2099.29
2015-07-01,2094.14
2015-08-01,2039.87
2015-09-01,1944.41
2015-10-01,2024.81
2015-11-01,2080.62
2015-12-01,2054.08
2016-01-01,1918.6
2016-02-01,1904.42
2016-03-01,2021.95
2016-04-01,2075.54
2016-05-01,2065.55
2016-06-01,2083.89
2016-07-01,2148.9
2016-08-01,2170.95
2016-09-01,2157.69
2016-10-01,2143.02
2016-11-01,2164.99
2016-12-01,2246.63
2017-01-01,2275.12
2017-02-01,2329.91
2017-03-01,2366.82
2017-04-01,2359.31
2017-05-01,2395.35
2017-06-01,2433.99
2017-07-01,2454.1
2017-08-01,2456.22
2017-09-01,2492.84
2017-10-01,2557.0
2017-11-01,2593.61
2017-12-01,2664.34
2018-01-01,2789.8
2018-02-01,2705.16
2018-03-01,2702.77
2018-04-01,2653.63
2018-05-01,2701.49
2018-06-01,2754.35
2018-07-01,2793.64
2018-08-01,2857.82
2018-09-01,2901.5
2018-10-01,2785.46
2018-11-01,2723.23
2018-12-01,2567.31
2019-01-01,2607.39
2019-02-01,2754.86
2019-03-01,2803.98
2019-04-01,2903.8
2019-05-01,2854.71
2019-06-01,2890.17
2019-07-01,2996.1136363636365
2019-08-01,2897.498181818182
2019-09-01,2982.156
2019-10-01,2977.68
2019-11-01,3104.9044999999996
2019-12-01,3176.7495238095235
2020-01-01,3278.2028571428577
2020-02-01,3277.3142105263164
2020-03-01,2652.3936363636367
2020-04-01,2761.975238095238
2020-05-01,2919.615
2020-06-01,3104.6609090909087
2020-07-01,3207.6190909090906
2020-08-01,3391.71
2020-09-01,3365.5166666666664
2020-10-01,3418.701363636364
2020-11-01,3548.992500000001
2020-12-01,3695.3099999999995
2021-01-01,3793.748421052632
2021-02-01,3883.4321052631576
2021-03-01,3910.5082608695648
2021-04-01,4141.176190476191
2021-05-01,4167.849500000001
2021-06-01,4238.489545454546
2021-07-01,4363.7128571428575
2021-08-01,4454.206363636363
2021-09-01,4445.543333333333
2021-10-01,4460.707142857143
2021-11-01,4667.386666666667
2021-12-01,4674.772727272726
2022-01-01,4573.8155
2022-02-01,4435.980526315789
2022-03-01,4391.265217391306
2022-04-01,4391.295999999999
2022-05-01,4040.3599999999997
2022-06-01,3898.9466666666676
2022-07-01,3911.729499999999
2022-08-01,4158.5630434782615
2022-09-01,3850.520476190475
2022-10-01,3726.050952380952
2022-11-01,3917.488571428571
2022-12-01,3912.380952380953
2023-01-01,3960.6565
2023-02-01,4079.684736842105
2023-03-01,3968.5591304347827
2023-04-01,4121.467368421053
2023-05-01,4146.1731818181825
2023-06-01,4345.372857142857
2023-07-01,4508.075500000001
2023-08-01,4457.358695652174
2023-09-01,4515.77
2023-10-01,4269.40
2023-11-01,4460.06
2023-12-01,4685.05
2024-01-01,4804.49
2024-02-01,5011.96
2024-03-01,5170.57
2024-04-01,5112.49
2024-05-01,5235.23
2024-06-01,5415.14
2024-07-01,5538.00
2024-08-01,5478.21
2024-09-01,5621.26
2024-10-01,5792.32
2024-11-01,5929.92
2024-12-01,6010.91
2025-01-01,5979.52
2025-02-01,6038.69
2025-03-01,5683.98
2025-04-01,5369.50
2025-05-01,5810.92
2025-06-01,6029.95
2025-07-01,6296.50
2025-08-01,6408.95
2025-09-01,6584.02
2025-10-01,6735.69
2025-11-01,6740.89
2025-12-01,6853.03
2026-01-01,6929.12
2026-02-01,6893.81
2026-03-01,6654.42
2026-04-01,6957.01
2026-05-01,7412.55
2026-06-01,7450.03
2026-07-01,7481.34
2026-08-01,7711.32
